127.0.0.1 - - [02/May/2021:21:06:44 +0900] "GET / HTTP/1.1" 200 11361
0:0:0:0:0:0:0:1 - - [02/May/2021:21:06:47 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [02/May/2021:21:07:56 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [02/May/2021:21:08:07 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [02/May/2021:21:09:24 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [02/May/2021:21:09:37 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [02/May/2021:21:09:58 +0900] "GET /jspdatabase/psftbasic.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:21 +0900] "GET /jspdatabase/user/login/login.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:42 +0900] "POST /jspdatabase/user/login/loinprocesse.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:42 +0900] "GET /jspdatabase/user/login/login.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:55 +0900] "POST /jspdatabase/user/login/loinprocesse.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:55 +0900] "GET /jspdatabase/user/login/welcome.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:58 +0900] "GET /jspdatabase/user/login/delete.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:58 +0900] "GET /jspdatabase/user/login/login.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:16 +0900] "GET /jspdatabase/user/singup/joinform.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:24 +0900] "POST /jspdatabase/user/singup/joinprocesse.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:24 +0900] "GET /jspdatabase/user/singup/joinsuccess.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:30 +0900] "GET /jspdatabase/user/login/delete.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:30 +0900] "GET /jspdatabase/user/login/login.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:33 +0900] "POST /jspdatabase/user/login/loinprocesse.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:33 +0900] "GET /jspdatabase/user/login/welcome.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:35 +0900] "POST /jspdatabase/user/login/update.jsp HTTP/1.1" 500 2149
